Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_number,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,create_date,version
SRR3084487,RNA-Seq,43,383867880,PRJNA307607,SAMN04383852,350492078,120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516156,GSM2027351,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027351,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084488,RNA-Seq,43,486040524,PRJNA307607,SAMN04383853,438602578,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516157,GSM2027352,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027352,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084489,RNA-Seq,43,666668474,PRJNA307607,SAMN04383854,619777619,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516158,GSM2027353,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027353,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084490,RNA-Seq,43,282388568,PRJNA307607,SAMN04383855,274184119,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516159,GSM2027354,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027354,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084491,RNA-Seq,43,752148432,PRJNA307607,SAMN04383856,689754578,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516160,GSM2027355,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027355,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084492,RNA-Seq,43,236432017,PRJNA307607,SAMN04383857,225639521,50,GEO,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516161,GSM2027356,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027356,neurons,SRP068066,cervical spinal cord,,
SRR3084493,RNA-Seq,43,237651841,PRJNA307607,SAMN04383858,226914056,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516162,GSM2027357,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027357,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084494,RNA-Seq,43,726219346,PRJNA307607,SAMN04383859,669738227,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516163,GSM2027358,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027358,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084495,RNA-Seq,43,436112321,PRJNA307607,SAMN04383860,396710525,50,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516164,GSM2027359,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027359,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084496,RNA-Seq,43,369717612,PRJNA307607,SAMN04383861,341688258,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516165,GSM2027360,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027360,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084497,RNA-Seq,43,437105879,PRJNA307607,SAMN04383862,396055934,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516166,GSM2027361,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027361,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084498,RNA-Seq,43,328243123,PRJNA307607,SAMN04383863,320491641,30,GEO,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516167,GSM2027362,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027362,neurons,SRP068066,cervical spinal cord,,
SRR3084499,RNA-Seq,43,831519896,PRJNA307607,SAMN04383864,757121469,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516168,GSM2027363,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027363,neurons,SRP068066,cervical spinal cord,2016-01-04T19:06:00Z,1
SRR3084500,RNA-Seq,43,508535759,PRJNA307607,SAMN04383865,454484888,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516169,GSM2027364,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027364,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084501,RNA-Seq,43,250143470,PRJNA307607,SAMN04383866,234202393,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516170,GSM2027365,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027365,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084502,RNA-Seq,43,450335087,PRJNA307607,SAMN04383897,413099969,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516171,GSM2027366,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027366,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084503,RNA-Seq,43,791346501,PRJNA307607,SAMN04383898,718691234,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516172,GSM2027367,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027367,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084504,RNA-Seq,43,531655268,PRJNA307607,SAMN04383899,504946095,30,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516173,GSM2027368,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027368,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084505,RNA-Seq,43,89746848,PRJNA307607,SAMN04383900,94264634,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516174,GSM2027369,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027369,neurons,SRP068066,cervical spinal cord,2016-01-04T19:00:00Z,1
SRR3084506,RNA-Seq,43,277937896,PRJNA307607,SAMN04383901,289902085,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516175,GSM2027370,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027370,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084507,RNA-Seq,43,577509565,PRJNA307607,SAMN04383902,509846344,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516176,GSM2027371,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027371,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084508,RNA-Seq,43,826233347,PRJNA307607,SAMN04383903,752706752,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516177,GSM2027372,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027372,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084509,RNA-Seq,43,597612581,PRJNA307607,SAMN04383904,524924765,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516178,GSM2027373,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027373,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084510,RNA-Seq,43,464724091,PRJNA307607,SAMN04383905,421340070,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516179,GSM2027374,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027374,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084511,RNA-Seq,43,300557659,PRJNA307607,SAMN04383906,281185809,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516180,GSM2027375,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027375,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084512,RNA-Seq,43,848282027,PRJNA307607,SAMN04383907,769547261,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516181,GSM2027376,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027376,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084513,RNA-Seq,43,688572158,PRJNA307607,SAMN04383908,638027943,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516182,GSM2027377,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027377,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084514,RNA-Seq,43,234894982,PRJNA307607,SAMN04383909,266476465,10,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516183,GSM2027378,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027378,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084515,RNA-Seq,43,320771701,PRJNA307607,SAMN04383910,325007579,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516184,GSM2027379,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027379,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084516,RNA-Seq,43,673448370,PRJNA307607,SAMN04383911,671756900,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516185,GSM2027380,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027380,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084517,RNA-Seq,43,289510615,PRJNA307607,SAMN04383912,293940434,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516186,GSM2027381,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027381,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084518,RNA-Seq,43,363776990,PRJNA307607,SAMN04383913,336313737,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516187,GSM2027382,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027382,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084519,RNA-Seq,43,496557808,PRJNA307607,SAMN04383914,476030808,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516188,GSM2027383,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027383,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084520,RNA-Seq,43,356861945,PRJNA307607,SAMN04383915,328785415,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516189,GSM2027384,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027384,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084521,RNA-Seq,43,474484403,PRJNA307607,SAMN04383916,454919277,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516190,GSM2027385,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027385,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084522,RNA-Seq,43,555260548,PRJNA307607,SAMN04383917,526605010,5,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516191,GSM2027386,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027386,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084523,RNA-Seq,43,301654245,PRJNA307607,SAMN04383918,310053453,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516192,GSM2027387,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027387,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084524,RNA-Seq,43,613238308,PRJNA307607,SAMN04383919,617823021,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516193,GSM2027388,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027388,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084525,RNA-Seq,43,1127825629,PRJNA307607,SAMN04383920,1055207491,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516194,GSM2027389,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027389,neurons,SRP068066,cervical spinal cord,2016-01-04T19:04:00Z,1
SRR3084526,RNA-Seq,43,347942713,PRJNA307607,SAMN04383921,366936810,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516195,GSM2027390,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027390,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084527,RNA-Seq,43,767166354,PRJNA307607,SAMN04383922,747335934,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516196,GSM2027391,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027391,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084528,RNA-Seq,43,371767035,PRJNA307607,SAMN04383923,379798194,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516197,GSM2027392,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027392,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084529,RNA-Seq,43,235830232,PRJNA307607,SAMN04383924,247188577,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516198,GSM2027393,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027393,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084530,RNA-Seq,43,253520475,PRJNA307607,SAMN04383925,265855473,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516199,GSM2027394,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027394,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
SRR3084531,RNA-Seq,43,620609239,PRJNA307607,SAMN04383867,615587505,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516200,GSM2027395,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027395,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084532,RNA-Seq,43,649302107,PRJNA307607,SAMN04383868,638890488,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516201,GSM2027396,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027396,neurons,SRP068066,cervical spinal cord,2016-01-04T19:02:00Z,1
SRR3084533,RNA-Seq,43,76711656,PRJNA307607,SAMN04383869,81983677,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516202,GSM2027397,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027397,neurons,SRP068066,cervical spinal cord,2016-01-04T19:03:00Z,1
SRR3084534,RNA-Seq,43,431448412,PRJNA307607,SAMN04383870,432474229,2,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516203,GSM2027398,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-07-05T00:00:00Z,GSM2027398,neurons,SRP068066,cervical spinal cord,2016-01-04T19:01:00Z,1
